jornada,region,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
23,Bogota Norte,201812,13,0,0,1,0,0,8331,0,0
23,Bogota Sur,201812,8,0,0,1,0,0,5375,0,0
23,Central,201812,10,0,0,1,0,0,3747,0,0
23,Costa,201812,5,1,0,0.833333333333333,0.166666666666667,0,2728,710,0
23,Occidente,201812,3,0,0,1,0,0,1049,0,0
23,Oriente,201812,15,0,0,1,0,0,7814,0,0
21,Antioquia,201901,90,24,4,0.76271186440678,0.203389830508475,0.0338983050847458,572427,170247,50342
21,Banca Oficial II,201901,1,0,0,1,0,0,10656,0,0
21,Bogota Norte,201901,57,26,4,0.655172413793103,0.298850574712644,0.0459770114942529,337286,250870,45764
21,Bogota Sur,201901,52,38,6,0.541666666666667,0.395833333333333,0.0625,297016,360941,72110
21,Central,201901,50,38,16,0.480769230769231,0.365384615384615,0.153846153846154,219506,242467,129071
21,Costa,201901,76,18,3,0.783505154639175,0.185567010309278,0.0309278350515464,406663,126493,20876
21,Direccion Banca Premium,201901,15,0,0,1,0,0,12638,0,0
21,Occidente,201901,37,51,17,0.352380952380952,0.485714285714286,0.161904761904762,203566,441509,149977
21,Oriente,201901,38,27,17,0.463414634146342,0.329268292682927,0.207317073170732,229335,206083,131072
22,Antioquia,201901,5,0,0,1,0,0,11271,0,0
22,Banca Oficial II,201901,1,0,0,1,0,0,1795,0,0
22,Bogota Norte,201901,1,5,0,0.166666666666667,0.833333333333333,0,2292,22247,0
22,Bogota Sur,201901,7,5,3,0.466666666666667,0.333333333333333,0.2,9336,21868,11400
22,Central,201901,10,1,1,0.833333333333333,0.0833333333333333,0.0833333333333333,15224,2389,1735
22,Costa,201901,6,0,2,0.75,0,0.25,9943,0,5979
22,Occidente,201901,4,0,0,1,0,0,11651,0,0
22,Oriente,201901,19,1,0,0.95,0.05,0,40769,2156,0
23,Antioquia,201901,2,0,0,1,0,0,511,0,0
23,Banca Oficial II,201901,1,0,0,1,0,0,467,0,0
23,Bogota Norte,201901,13,0,0,1,0,0,8702,0,0
23,Bogota Sur,201901,8,0,0,1,0,0,5723,0,0
23,Central,201901,9,0,0,1,0,0,3833,0,0
23,Costa,201901,6,0,0,1,0,0,2996,0,0
23,Occidente,201901,4,0,0,1,0,0,1600,0,0
23,Oriente,201901,16,0,0,1,0,0,8123,0,0
21,Antioquia,201902,73,41,4,0.61864406779661,0.347457627118644,0.0338983050847458,431755,306470,44924
21,Banca Oficial II,201902,1,0,0,1,0,0,10225,0,0
21,Bogota Norte,201902,49,34,3,0.569767441860465,0.395348837209302,0.0348837209302326,279458,303698,34145
21,Bogota Sur,201902,46,46,4,0.479166666666667,0.479166666666667,0.0416666666666667,252892,415942,42621
21,Central,201902,54,28,22,0.519230769230769,0.269230769230769,0.211538461538462,225138,184000,158802
21,Costa,201902,77,16,4,0.793814432989691,0.164948453608247,0.0412371134020619,391694,94450,27100
21,Direccion Banca Premium,201902,15,0,0,1,0,0,13115,0,0
21,Occidente,201902,42,48,14,0.403846153846154,0.461538461538462,0.134615384615385,237748,372597,106743
21,Oriente,201902,30,34,18,0.365853658536585,0.414634146341463,0.219512195121951,184613,244818,112869
22,Antioquia,201902,5,0,0,1,0,0,11145,0,0
22,Banca Oficial II,201902,1,0,0,1,0,0,1803,0,0
22,Bogota Norte,201902,3,4,0,0.428571428571429,0.571428571428571,0,7004,15868,0
22,Bogota Sur,201902,7,5,3,0.466666666666667,0.333333333333333,0.2,10187,21571,11471
22,Central,201902,8,1,2,0.727272727272727,0.0909090909090909,0.181818181818182,11891,2384,4612
22,Costa,201902,4,1,2,0.571428571428571,0.142857142857143,0.285714285714286,5316,2853,5827
22,Occidente,201902,4,0,0,1,0,0,10195,0,0
22,Oriente,201902,19,2,0,0.904761904761905,0.0952380952380952,0,38951,4378,0
23,Antioquia,201902,3,0,0,1,0,0,859,0,0
23,Banca Oficial II,201902,1,0,0,1,0,0,468,0,0
23,Bogota Norte,201902,13,0,0,1,0,0,8945,0,0
23,Bogota Sur,201902,8,0,0,1,0,0,6197,0,0
23,Central,201902,8,1,0,0.888888888888889,0.111111111111111,0,3158,859,0
23,Costa,201902,7,0,0,1,0,0,3350,0,0
23,Occidente,201902,3,0,0,1,0,0,2054,0,0
23,Oriente,201902,17,0,0,1,0,0,8782,0,0
21,Antioquia,201903,64,42,9,0.556521739130435,0.365217391304348,0.0782608695652174,404599,319843,93715
21,Banca Oficial II,201903,1,0,0,1,0,0,15453,0,0
21,Bogota Norte,201903,32,43,11,0.372093023255814,0.5,0.127906976744186,178364,390630,125812
21,Bogota Sur,201903,26,49,17,0.282608695652174,0.532608695652174,0.184782608695652,128825,469571,170794
21,Central,201903,50,31,22,0.485436893203884,0.300970873786408,0.213592233009709,217342,211693,159271
21,Costa,201903,56,32,8,0.583333333333333,0.333333333333333,0.0833333333333333,297791,208773,61165
21,Direccion Banca Premium,201903,15,0,0,1,0,0,14748,0,0
21,Occidente,201903,37,40,27,0.355769230769231,0.384615384615385,0.259615384615385,221137,361516,231547
21,Oriente,201903,29,32,18,0.367088607594937,0.405063291139241,0.227848101265823,189321,232865,122655
22,Antioquia,201903,4,0,0,1,0,0,9324,0,0
22,Banca Oficial II,201903,1,0,0,1,0,0,2417,0,0
