llave,oficina_segun_terminal,numero_caja,mes,jornada,region,zona,nombre,tx,tasa_servicio,t_ocup
2300852,85,3,201903,23,Bogota Norte,Autopista Nororiental,0085 - Centro Comercial Santa Fe,122,30.2147937411095,0.269183811182776
2300852,85,4,201903,23,Bogota Norte,Autopista Nororiental,0085 - Centro Comercial Santa Fe,141,30.2147937411095,0.233329410103103
2301312,131,1,201903,23,Bogota Norte,Santa Barbara,0131 - Centro Comercial Palatino,123,30.0055658627087,0.163969578927843
2301312,131,2,201903,23,Bogota Norte,Santa Barbara,0131 - Centro Comercial Palatino,215,30.0055658627087,0.286613491621839
2301312,131,3,201903,23,Bogota Norte,Santa Barbara,0131 - Centro Comercial Palatino,201,30.0055658627087,0.267950287516231
2301372,137,1,201903,23,Oriente,Norte de Santander y Arauca,0137 - Arauca,338,30.1606905710491,0.448265598168289
2301372,137,2,201903,23,Oriente,Norte de Santander y Arauca,0137 - Arauca,364,30.1606905710491,0.482747567258157
2301372,137,4,201903,23,Oriente,Norte de Santander y Arauca,0137 - Arauca,51,30.1606905710491,0.0676377085993571
2301512,151,1,201903,23,Costa,Barranquilla Centro,0151 - Centro Nelmar,243,30.4659090909091,0.319045132413279
2301512,151,3,201903,23,Costa,Barranquilla Centro,0151 - Centro Nelmar,339,30.4659090909091,0.4450876538605
2301512,151,4,201903,23,Costa,Barranquilla Centro,0151 - Centro Nelmar,386,30.4659090909091,0.506795971652369
2301612,161,1,201903,23,Bogota Sur,Zona Industrial,0161 - Ciudad Tunal,6,30.4047815333883,0.0197337382392018
2301612,161,2,201903,23,Bogota Sur,Zona Industrial,0161 - Ciudad Tunal,443,30.4047815333883,0.582803069331092
2301612,161,3,201903,23,Bogota Sur,Zona Industrial,0161 - Ciudad Tunal,406,30.4047815333883,0.534126515007728
2301612,161,4,201903,23,Bogota Sur,Zona Industrial,0161 - Ciudad Tunal,358,30.4047815333883,0.470978552642282
2301682,168,2,201903,23,Oriente,Magdalena Medio,0168 - Barrancabermeja,305,29.4540540540541,0.414204441181868
2301682,168,3,201903,23,Oriente,Magdalena Medio,0168 - Barrancabermeja,311,29.4540540540541,0.422352725270692
