jornada,region,zona,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
22,Central,No hay informacion,201807,2,0,0,1,0,0,460,0,0
22,Central,Sabana,201807,1,0,0,1,0,0,2122,0,0
22,Central,Tolima,201807,0,1,0,0,1,0,0,2938,0
22,Central,Villavicencio,201807,1,0,0,1,0,0,2538,0,0
22,Costa,Barranquilla Centro,201807,0,0,1,0,0,1,0,0,3424
22,Costa,Barranquilla Norte,201807,0,1,0,0,1,0,0,3402,0
22,Costa,Bolivar - San Andres/Prov.,201807,1,0,1,0.5,0,0.5,2890,0,3425
22,Costa,No hay informacion,201807,4,0,0,1,0,0,5223,0,0
22,Occidente,Cali Norte,201807,1,0,0,1,0,0,2770,0,0
22,Occidente,Cali Sur,201807,3,0,0,1,0,0,8981,0,0
22,Oriente,Boyaca,201807,4,1,0,0.8,0.2,0,8787,2088,0
22,Oriente,Bucaramanga,201807,2,0,0,1,0,0,5914,0,0
22,Oriente,Casanare y Bucaramanga,201807,4,0,0,1,0,0,8971,0,0
22,Oriente,Magdalena Medio,201807,2,0,0,1,0,0,4740,0,0
22,Oriente,No hay informacion,201807,2,1,0,0.666666666666667,0.333333333333333,0,4176,1733,0
22,Oriente,Norte de Santander y Arauca,201807,4,0,0,1,0,0,8804,0,0
23,Antioquia,Medellin El Poblado,201807,2,0,0,1,0,0,395,0,0
23,Banca Oficial II,No hay informacion,201807,1,0,0,1,0,0,493,0,0
23,Bogota Norte,Autopista Nororiental,201807,4,0,0,1,0,0,1657,0,0
23,Bogota Norte,Carrera Septima,201807,1,0,0,1,0,0,465,0,0
23,Bogota Norte,Noroccidente,201807,2,0,0,1,0,0,1577,0,0
23,Bogota Norte,Occidental,201807,2,0,0,1,0,0,1597,0,0
23,Bogota Norte,Santa Barbara,201807,3,0,0,1,0,0,2004,0,0
23,Bogota Sur,Autopista Sur,201807,1,0,0,1,0,0,521,0,0
23,Bogota Sur,Calle 26,201807,1,0,0,1,0,0,1401,0,0
23,Bogota Sur,No hay informacion,201807,2,0,0,1,0,0,306,0,0
23,Bogota Sur,Occidente,201807,2,0,0,1,0,0,2286,0,0
23,Bogota Sur,Zona Industrial,201807,3,0,0,1,0,0,2635,0,0
23,Central,Cundinamarca,201807,2,0,0,1,0,0,999,0,0
23,Central,Girardot,201807,2,0,0,1,0,0,485,0,0
23,Central,Huila - Caqueta,201807,1,0,0,1,0,0,475,0,0
23,Central,Neiva - Tolima,201807,1,0,0,1,0,0,149,0,0
23,Central,No hay informacion,201807,1,0,0,1,0,0,74,0,0
23,Central,Sabana,201807,1,0,0,1,0,0,587,0,0
23,Central,Tolima,201807,1,0,0,1,0,0,854,0,0
23,Central,Villavicencio,201807,1,0,0,1,0,0,744,0,0
23,Costa,Barranquilla Centro,201807,0,1,0,0,1,0,0,1024,0
23,Costa,Barranquilla Norte,201807,1,0,0,1,0,0,915,0,0
23,Costa,Bolivar - San Andres/Prov.,201807,1,1,0,0.5,0.5,0,468,929,0
23,Costa,No hay informacion,201807,2,0,0,1,0,0,900,0,0
23,Occidente,Cali Norte,201807,1,0,0,1,0,0,781,0,0
23,Occidente,Cali Sur,201807,3,0,0,1,0,0,1417,0,0
23,Oriente,Boyaca,201807,4,0,0,1,0,0,1775,0,0
23,Oriente,Bucaramanga,201807,2,0,0,1,0,0,1233,0,0
23,Oriente,Casanare y Bucaramanga,201807,2,0,0,1,0,0,657,0,0
23,Oriente,Magdalena Medio,201807,2,0,0,1,0,0,985,0,0
23,Oriente,No hay informacion,201807,3,0,0,1,0,0,1289,0,0
23,Oriente,Norte de Santander y Arauca,201807,4,0,0,1,0,0,1438,0,0
21,Antioquia,Caldas,201808,8,2,0,0.8,0.2,0,47849,16976,0
21,Antioquia,Medellin Centro,201808,6,5,0,0.545454545454545,0.454545454545455,0,36243,43775,0
21,Antioquia,Medellin El Poblado,201808,7,4,0,0.636363636363636,0.363636363636364,0,42950,38649,0
