llave,jornada,region,zona,nombre,mes,total_tx,t_ocup,num_cajeros
2100222,21,Bogota Sur,Autopista Sur,0022 - Venecia,201904,8106,0.805026487600466,3
2100232,21,Bogota Sur,Calle 26,0023 - Modelia,201904,8961,0.890470983225556,3
2100242,21,Bogota Norte,Occidental,"0024 - Centro Comercial Diver Plaza Alamos
",201904,14593,0.943907467413584,4
2100252,21,Bogota Sur,Occidente,0025 - Plaza de las Americas,201904,12809,0.838433654357381,4
2100262,21,Bogota Sur,Sur Oriente,0026 - Santuario 20 de Julio,201904,8674,0.776872307743808,3
2100272,21,Bogota Sur,Occidente,0027 - Carvajal,201904,7805,0.780055253570994,3
2100282,21,Bogota Sur,Teusaquillo,0028 - Calle 13 Carrera 30,201904,5652,0.556712207302256,3
2100302,21,Bogota Norte,Noroccidente,0030 - Gaitana,201904,11477,1.12640152070992,3
2100322,21,Bogota Sur,Teusaquillo,0032 - Carrera 24 N° 26-01,201904,8596,0.847538062309138,3
2100332,21,Bogota Sur,Centro Oriental,0033 - Andes,201904,3477,0.576135151989803,3
2100342,21,Bogota Sur,Centro Oriental,0034 - Parque Santander,201904,8096,0.800275055870724,3
2100352,21,Bogota Sur,Centro Oriental,0035 - Avenida 19,201904,7275,0.712391426367796,3
2100362,21,Bogota Sur,Centro Oriental,0036 - Carrera 10 Calle 17,201904,7767,0.768519379841999,3
2100372,21,Bogota Sur,Teusaquillo,0037 - Carrera 47,201904,6637,0.653744409380013,3
2100382,21,Bogota Norte,Calle 72,0038 - Avenida Chile,201904,7758,0.763539085816848,3
2100392,21,Bogota Norte,Carrera Septima,0039 - Parque El Virrey,201904,10531,0.781763431149077,4
2100402,21,Bogota Norte,Chapinero,0040 - Chapinero,201904,9817,0.966226110781428,3
2100412,21,Bogota Norte,Chapinero,0041 - Calle 54 N° 10-73,201904,5604,0.828093046509016,2
2100432,21,Bogota Sur,Teusaquillo,0043 - Universidad Javeriana,201904,4533,0.445779571764495,3
2100442,21,Bogota Norte,Noroccidente,0044 - Ilarco,201904,6930,0.684782608695652,3
2100452,21,Bogota Sur,Occidente,0045 - Central de Abastos,201904,11842,0.793316172767497,4
2100462,21,Bogota Sur,Calle 26,0046 - Ciudad Salitre,201904,7574,0.753974165969412,3
2100472,21,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,201904,12347,0.814871002035173,4
2100492,21,Bogota Norte,Calle 72,0049 - El Castillo,201904,9736,0.725291395303212,4
2100502,21,Bogota Norte,Calle 72,0050 - El Nogal,201904,6807,0.67540776786913,3
2100512,21,Bogota Sur,Centro Oriental,0051 - Las Aguas,201904,5763,0.567927139757895,3
2100522,21,Bogota Sur,No hay informacion,0052 - Central San Martin,201904,8378,0.82447795955845,3
2100542,21,Bogota Sur,Teusaquillo,0054 - Paloquemao,201904,9916,0.994555180904616,3
2100552,21,Bogota Sur,Zona Industrial,0055 - Calle 9a. Carrera 34,201904,7865,0.790691216377723,3
2100562,21,Bogota Norte,Chapinero,0056 - Carrera 11 N° 68-09,201904,7068,0.697199888965229,3
2100572,21,Bogota Sur,Zona Industrial,0057 - Ricaurte,201904,8305,0.832506837674925,3
2100582,21,Bogota Sur,Centro Oriental,0058 - San Agustin,201904,6046,0.605112333780454,3
2100592,21,Central,Cundinamarca,0059 - Mesitas del Colegio,201904,4983,0.740165982450848,2
2100602,21,Bogota Sur,Occidente,0060 - Kennedy,201904,8551,0.845746348043409,3
2100612,21,Bogota Sur,Autopista Sur,0061 - Centro IND. Cazuca,201904,6015,0.596064074018243,3
